"Tumor_Sample_Barcode"	"total"	"total_perMB"	"total_perMB_log"
"TCGA-AF-3400-01"	19	0.38	-0.42021640338319
"TCGA-A6-2674-01"	20	0.4	-0.397940008672038
"TCGA-AA-A00W-01"	23	0.46	-0.337242168318426
"TCGA-AA-A00Q-01"	24	0.48	-0.318758762624413
"TCGA-AG-3578-01"	26	0.52	-0.283996656365201
"TCGA-AA-3517-01"	28	0.56	-0.2518119729938
"TCGA-AA-3556-01"	28	0.56	-0.2518119729938
"TCGA-AA-3553-01"	29	0.58	-0.236572006437063
"TCGA-AG-3582-01"	29	0.58	-0.236572006437063
"TCGA-AG-3584-01"	29	0.58	-0.236572006437063
"TCGA-AA-3548-01"	30	0.6	-0.221848749616356
"TCGA-AA-A00Z-01"	30	0.6	-0.221848749616356
"TCGA-AA-A00F-01"	31	0.62	-0.207608310501746
"TCGA-AA-3538-01"	32	0.64	-0.193820026016113
"TCGA-AA-3562-01"	32	0.64	-0.193820026016113
"TCGA-AG-3574-01"	32	0.64	-0.193820026016113
"TCGA-AG-3580-01"	32	0.64	-0.193820026016113
"TCGA-AG-3594-01"	32	0.64	-0.193820026016113
"TCGA-AA-3532-01"	34	0.68	-0.167491087293764
"TCGA-AA-3860-01"	34	0.68	-0.167491087293764
"TCGA-AF-2692-01"	35	0.7	-0.154901959985743
"TCGA-AG-3581-01"	36	0.72	-0.142667503568732
"TCGA-AG-3602-01"	36	0.72	-0.142667503568732
"TCGA-AA-3519-01"	37	0.74	-0.130768280269024
"TCGA-AA-3561-01"	37	0.74	-0.130768280269024
"TCGA-AA-3524-01"	38	0.76	-0.119186407719209
"TCGA-AG-A016-01"	38	0.76	-0.119186407719209
"TCGA-AG-A008-01"	39	0.78	-0.10790539730952
"TCGA-AG-3611-01"	40	0.8	-0.0969100130080564
"TCGA-AG-3575-01"	41	0.82	-0.0861861476162833
"TCGA-AA-3522-01"	42	0.84	-0.0757207139381184
"TCGA-AA-3521-01"	43	0.86	-0.0655015487564323
"TCGA-AA-3529-01"	44	0.88	-0.0555173278498314
"TCGA-AA-3552-01"	44	0.88	-0.0555173278498314
"TCGA-AG-A02G-01"	44	0.88	-0.0555173278498314
"TCGA-AA-3544-01"	45	0.9	-0.0457574905606751
"TCGA-AF-2689-01"	45	0.9	-0.0457574905606751
"TCGA-AG-3608-01"	45	0.9	-0.0457574905606751
"TCGA-AG-3901-01"	45	0.9	-0.0457574905606751
"TCGA-AA-3526-01"	46	0.92	-0.0362121726544447
"TCGA-AA-A01S-01"	46	0.92	-0.0362121726544447
"TCGA-AG-3605-01"	46	0.92	-0.0362121726544447
"TCGA-AA-3858-01"	47	0.94	-0.0268721464003014
"TCGA-AA-A00L-01"	47	0.94	-0.0268721464003014
"TCGA-AA-A01F-01"	48	0.96	-0.0177287669604316
"TCGA-AA-A01X-01"	48	0.96	-0.0177287669604316
"TCGA-AA-A02F-01"	48	0.96	-0.0177287669604316
"TCGA-AG-3586-01"	48	0.96	-0.0177287669604316
"TCGA-AA-3560-01"	49	0.98	-0.00877392430750515
"TCGA-AA-3872-01"	49	0.98	-0.00877392430750515
"TCGA-AA-A01G-01"	50	1	0
"TCGA-AA-3856-01"	51	1.02	0.00860017176191757
"TCGA-AA-A017-01"	51	1.02	0.00860017176191757
"TCGA-AG-3587-01"	51	1.02	0.00860017176191757
"TCGA-AG-3612-01"	51	1.02	0.00860017176191757
"TCGA-AA-3534-01"	52	1.04	0.0170333392987804
"TCGA-AG-3583-01"	52	1.04	0.0170333392987804
"TCGA-AG-A00C-01"	52	1.04	0.0170333392987804
"TCGA-AG-A015-01"	52	1.04	0.0170333392987804
"TCGA-AA-3688-01"	53	1.06	0.0253058652647703
"TCGA-AG-3599-01"	53	1.06	0.0253058652647703
"TCGA-AA-3520-01"	54	1.08	0.0334237554869497
"TCGA-AG-3882-01"	54	1.08	0.0334237554869497
"TCGA-AA-3679-01"	55	1.1	0.0413926851582251
"TCGA-AA-A00D-01"	55	1.1	0.0413926851582251
"TCGA-A6-2677-01"	56	1.12	0.0492180226701817
"TCGA-AA-3692-01"	56	1.12	0.0492180226701817
"TCGA-AG-3598-01"	56	1.12	0.0492180226701817
"TCGA-AG-A00H-01"	56	1.12	0.0492180226701817
"TCGA-AA-3531-01"	57	1.14	0.0569048513364726
"TCGA-AF-2691-01"	57	1.14	0.0569048513364726
"TCGA-AA-A004-01"	58	1.16	0.0644579892269184
"TCGA-AA-3667-01"	59	1.18	0.0718820073061254
"TCGA-AA-3842-01"	59	1.18	0.0718820073061254
"TCGA-AA-3986-01"	59	1.18	0.0718820073061254
"TCGA-AG-3593-01"	60	1.2	0.0791812460476248
"TCGA-AG-3887-01"	60	1.2	0.0791812460476248
"TCGA-AG-A01L-01"	60	1.2	0.0791812460476248
"TCGA-AG-A020-01"	60	1.2	0.0791812460476248
"TCGA-AA-3678-01"	61	1.22	0.0863598306747482
"TCGA-AG-3890-01"	61	1.22	0.0863598306747482
"TCGA-A6-2678-01"	62	1.24	0.0934216851622351
"TCGA-AA-A02H-01"	63	1.26	0.100370545117563
"TCGA-AG-4008-01"	63	1.26	0.100370545117563
"TCGA-AA-3549-01"	64	1.28	0.107209969647868
"TCGA-AA-A024-01"	64	1.28	0.107209969647868
"TCGA-AA-A03J-01"	64	1.28	0.107209969647868
"TCGA-AA-3685-01"	65	1.3	0.113943352306837
"TCGA-AG-A01Y-01"	65	1.3	0.113943352306837
"TCGA-AA-3673-01"	66	1.32	0.12057393120585
"TCGA-AG-3609-01"	66	1.32	0.12057393120585
"TCGA-AA-3869-01"	67	1.34	0.127104798364808
"TCGA-AA-A00U-01"	67	1.34	0.127104798364808
"TCGA-AA-3973-01"	69	1.38	0.139879086401236
"TCGA-AG-A032-01"	69	1.38	0.139879086401236
"TCGA-AA-3976-01"	70	1.4	0.146128035678238
"TCGA-AA-3846-01"	71	1.42	0.152288344383056
"TCGA-AA-3971-01"	71	1.42	0.152288344383056
"TCGA-AG-A025-01"	71	1.42	0.152288344383056
"TCGA-AA-A00O-01"	72	1.44	0.15836249209525
"TCGA-AG-3727-01"	72	1.44	0.15836249209525
"TCGA-AA-3851-01"	73	1.46	0.164352855784437
"TCGA-AG-3909-01"	73	1.46	0.164352855784437
"TCGA-A6-2683-01"	74	1.48	0.170261715394957
"TCGA-AA-3530-01"	74	1.48	0.170261715394957
"TCGA-AA-3952-01"	74	1.48	0.170261715394957
"TCGA-AG-3878-01"	74	1.48	0.170261715394957
"TCGA-AG-3894-01"	75	1.5	0.176091259055681
"TCGA-AG-3600-01"	76	1.52	0.181843587944773
"TCGA-AA-3696-01"	77	1.54	0.187520720836463
"TCGA-AA-3814-01"	77	1.54	0.187520720836463
"TCGA-AA-A01T-01"	77	1.54	0.187520720836463
"TCGA-AG-3601-01"	77	1.54	0.187520720836463
"TCGA-AG-3881-01"	77	1.54	0.187520720836463
"TCGA-AA-3850-01"	78	1.56	0.193124598354462
"TCGA-AG-3898-01"	78	1.56	0.193124598354462
"TCGA-AA-A01Z-01"	79	1.58	0.198657086954423
"TCGA-A6-3807-01"	80	1.6	0.204119982655925
"TCGA-AA-3812-01"	80	1.6	0.204119982655925
"TCGA-AG-3896-01"	80	1.6	0.204119982655925
"TCGA-AG-4005-01"	80	1.6	0.204119982655925
"TCGA-AA-3514-01"	81	1.62	0.209515014542631
"TCGA-AA-3527-01"	81	1.62	0.209515014542631
"TCGA-AA-3972-01"	81	1.62	0.209515014542631
"TCGA-AA-A01I-01"	83	1.66	0.220108088040055
"TCGA-AG-4015-01"	83	1.66	0.220108088040055
"TCGA-AY-4071-01"	83	1.66	0.220108088040055
"TCGA-AA-3867-01"	85	1.7	0.230448921378274
"TCGA-AF-3913-01"	85	1.7	0.230448921378274
"TCGA-AG-3999-01"	85	1.7	0.230448921378274
"TCGA-AG-3893-01"	87	1.74	0.2405492482826
"TCGA-AA-3844-01"	88	1.76	0.24551266781415
"TCGA-AA-A029-01"	89	1.78	0.250420002308894
"TCGA-AA-3980-01"	90	1.8	0.255272505103306
"TCGA-AA-3982-01"	90	1.8	0.255272505103306
"TCGA-AG-4001-01"	90	1.8	0.255272505103306
"TCGA-AG-A011-01"	90	1.8	0.255272505103306
"TCGA-AA-3680-01"	92	1.84	0.264817823009536
"TCGA-AA-3831-01"	93	1.86	0.269512944217916
"TCGA-AA-3558-01"	94	1.88	0.27415784926368
"TCGA-AA-3866-01"	94	1.88	0.27415784926368
"TCGA-AA-3684-01"	95	1.9	0.278753600952829
"TCGA-AA-A01V-01"	95	1.9	0.278753600952829
"TCGA-AG-3883-01"	96	1.92	0.28330122870355
"TCGA-A6-3810-01"	97	1.94	0.287801729930226
"TCGA-AA-3681-01"	97	1.94	0.287801729930226
"TCGA-AA-3870-01"	97	1.94	0.287801729930226
"TCGA-AG-A01W-01"	97	1.94	0.287801729930226
"TCGA-AA-3941-01"	99	1.98	0.296665190261531
"TCGA-AA-3955-01"	99	1.98	0.296665190261531
"TCGA-A6-3808-01"	101	2.02	0.305351369446624
"TCGA-AA-3818-01"	101	2.02	0.305351369446624
"TCGA-AA-3875-01"	102	2.04	0.309630167425899
"TCGA-AA-3975-01"	102	2.04	0.309630167425899
"TCGA-AG-3902-01"	102	2.04	0.309630167425899
"TCGA-AA-3989-01"	103	2.06	0.313867220369153
"TCGA-AA-A02Y-01"	103	2.06	0.313867220369153
"TCGA-AA-A03F-01"	104	2.08	0.318063334962762
"TCGA-AA-3837-01"	106	2.12	0.326335860928751
"TCGA-AY-4070-01"	106	2.12	0.326335860928751
"TCGA-AA-3848-01"	107	2.14	0.330413773349191
"TCGA-AG-A02X-01"	108	2.16	0.334453751150931
"TCGA-AA-3854-01"	109	2.18	0.338456493604605
"TCGA-AA-A02W-01"	109	2.18	0.338456493604605
"TCGA-AA-3693-01"	110	2.2	0.342422680822206
"TCGA-AA-3855-01"	110	2.2	0.342422680822206
"TCGA-AA-3852-01"	112	2.24	0.350248018334163
"TCGA-AG-A036-01"	112	2.24	0.350248018334163
"TCGA-AA-3939-01"	113	2.26	0.354108439147401
"TCGA-AA-3956-01"	113	2.26	0.354108439147401
"TCGA-AA-A02J-01"	114	2.28	0.357934847000454
"TCGA-AA-3930-01"	123	2.46	0.390935107103379
"TCGA-AA-3664-01"	127	2.54	0.404833716619938
"TCGA-AA-3979-01"	128	2.56	0.40823996531185
"TCGA-AG-3726-01"	128	2.56	0.40823996531185
"TCGA-AG-4007-01"	128	2.56	0.40823996531185
"TCGA-AA-3666-01"	132	2.64	0.421603926869831
"TCGA-AG-A014-01"	132	2.64	0.421603926869831
"TCGA-AA-3819-01"	135	2.7	0.431363764158987
"TCGA-AA-A02O-01"	135	2.7	0.431363764158987
"TCGA-AA-3695-01"	136	2.72	0.434568904034199
"TCGA-AA-A00K-01"	137	2.74	0.437750562820388
"TCGA-AA-3994-01"	145	2.9	0.462397997898956
"TCGA-AA-A01K-01"	145	2.9	0.462397997898956
"TCGA-AA-A01D-01"	153	3.06	0.48572142648158
"TCGA-AG-A026-01"	170	3.4	0.531478917042255
"TCGA-AA-3543-01"	190	3.8	0.57978359661681
"TCGA-AG-A00Y-01"	193	3.86	0.586587304671755
"TCGA-AA-3554-01"	241	4.82	0.68304703823885
"TCGA-AA-A00R-01"	301	6.02	0.779596491257824
"TCGA-AA-3542-01"	326	6.52	0.81424759573192
"TCGA-AA-A00A-01"	332	6.64	0.822168079368018
"TCGA-AA-A01P-01"	379	7.58	0.879669205632054
"TCGA-AA-3833-01"	381	7.62	0.881954971339601
"TCGA-A6-2672-01"	418	8.36	0.922206277439016
"TCGA-AA-3518-01"	426	8.52	0.9304395947667
"TCGA-AA-3525-01"	466	9.32	0.969415912353981
"TCGA-AA-A00E-01"	469	9.38	0.972202838379065
"TCGA-AA-A01Q-01"	593	11.86	1.07408468902824
"TCGA-A6-2676-01"	601	12.02	1.07990446766672
"TCGA-AA-3821-01"	627	12.54	1.0982975364947
"TCGA-AA-3845-01"	655	13.1	1.11727129565576
"TCGA-AA-3949-01"	678	13.56	1.13225968953104
"TCGA-AA-3516-01"	684	13.68	1.1360860973841
"TCGA-AA-3555-01"	735	14.7	1.16731733474818
"TCGA-AA-3877-01"	766	15.32	1.18525876529659
"TCGA-AA-3811-01"	848	16.96	1.22942584792069
"TCGA-AA-A00J-01"	865	17.3	1.2380461031288
"TCGA-AG-A02N-01"	893	17.86	1.25188145455253
"TCGA-AA-A022-01"	894	17.88	1.2523675144599
"TCGA-AA-3966-01"	898	17.96	1.25430633233129
"TCGA-AA-3710-01"	957	19.14	1.28194193344082
"TCGA-AA-A01R-01"	1219	24.38	1.38703370128236
"TCGA-AA-3947-01"	1279	25.58	1.40790054014263
"TCGA-AA-3672-01"	1348	26.96	1.43071988786328
"TCGA-AA-3715-01"	1483	29.66	1.47217114669236
"TCGA-AG-3892-01"	1851	37.02	1.56843641441689
"TCGA-AA-3864-01"	1929	38.58	1.58636222330787
"TCGA-AA-3977-01"	2920	58.4	1.7664128471124
"TCGA-AA-3984-01"	3210	64.2	1.80753502806885
"TCGA-AA-A00N-01"	3674	73.48	1.86616914763377
"TCGA-AA-A010-01"	6100	122	2.08635983067475
"TCGA-AG-A002-01"	9829	196.58	2.29353933073176
