"ID"	"total"	"total_perMB"	"total_perMB_log"	"EIF2AK4_status"
"TCGA-A6-2672"	418	8.36	0.922206277439016	"Normal_deletion"
"TCGA-A6-2674"	20	0.4	-0.397940008672038	"Shallow_deletion"
"TCGA-A6-2676"	601	12.02	1.07990446766672	"Normal_deletion"
"TCGA-A6-2677"	56	1.12	0.0492180226701817	"Shallow_deletion"
"TCGA-A6-2678"	62	1.24	0.0934216851622351	"Shallow_deletion"
"TCGA-A6-2683"	74	1.48	0.170261715394957	"Shallow_deletion"
"TCGA-A6-3807"	80	1.6	0.204119982655925	"Shallow_deletion"
"TCGA-A6-3810"	97	1.94	0.287801729930226	"Shallow_deletion"
"TCGA-AA-3514"	81	1.62	0.209515014542631	"Normal_deletion"
"TCGA-AA-3516"	684	13.68	1.1360860973841	"Normal_deletion"
"TCGA-AA-3517"	28	0.56	-0.2518119729938	"Normal_deletion"
"TCGA-AA-3518"	426	8.52	0.9304395947667	"Normal_deletion"
"TCGA-AA-3519"	37	0.74	-0.130768280269024	"Normal_deletion"
"TCGA-AA-3520"	54	1.08	0.0334237554869497	"Normal_deletion"
"TCGA-AA-3521"	43	0.86	-0.0655015487564323	"Normal_deletion"
"TCGA-AA-3522"	42	0.84	-0.0757207139381184	"Shallow_deletion"
"TCGA-AA-3524"	38	0.76	-0.119186407719209	"Normal_deletion"
"TCGA-AA-3525"	466	9.32	0.969415912353981	"Normal_deletion"
"TCGA-AA-3526"	46	0.92	-0.0362121726544447	"Normal_deletion"
"TCGA-AA-3527"	81	1.62	0.209515014542631	"Normal_deletion"
"TCGA-AA-3529"	44	0.88	-0.0555173278498314	"Normal_deletion"
"TCGA-AA-3530"	74	1.48	0.170261715394957	"Normal_deletion"
"TCGA-AA-3531"	57	1.14	0.0569048513364726	"Normal_deletion"
"TCGA-AA-3532"	34	0.68	-0.167491087293764	"Normal_deletion"
"TCGA-AA-3538"	32	0.64	-0.193820026016113	"Normal_deletion"
"TCGA-AA-3542"	326	6.52	0.81424759573192	"Shallow_deletion"
"TCGA-AA-3543"	190	3.8	0.57978359661681	"Normal_deletion"
"TCGA-AA-3544"	45	0.9	-0.0457574905606751	"Shallow_deletion"
"TCGA-AA-3548"	30	0.6	-0.221848749616356	"Shallow_deletion"
"TCGA-AA-3549"	64	1.28	0.107209969647868	"Shallow_deletion"
"TCGA-AA-3552"	44	0.88	-0.0555173278498314	"Shallow_deletion"
"TCGA-AA-3553"	29	0.58	-0.236572006437063	"Shallow_deletion"
"TCGA-AA-3554"	241	4.82	0.68304703823885	"Normal_deletion"
"TCGA-AA-3555"	735	14.7	1.16731733474818	"Normal_deletion"
"TCGA-AA-3556"	28	0.56	-0.2518119729938	"Shallow_deletion"
"TCGA-AA-3558"	94	1.88	0.27415784926368	"Normal_deletion"
"TCGA-AA-3560"	49	0.98	-0.00877392430750515	"Shallow_deletion"
"TCGA-AA-3561"	37	0.74	-0.130768280269024	"Normal_deletion"
"TCGA-AA-3562"	32	0.64	-0.193820026016113	"Shallow_deletion"
"TCGA-AA-3664"	127	2.54	0.404833716619938	"Normal_deletion"
"TCGA-AA-3666"	132	2.64	0.421603926869831	"Shallow_deletion"
"TCGA-AA-3667"	59	1.18	0.0718820073061254	"Normal_deletion"
"TCGA-AA-3672"	1348	26.96	1.43071988786328	"Normal_deletion"
"TCGA-AA-3673"	66	1.32	0.12057393120585	"Shallow_deletion"
"TCGA-AA-3678"	61	1.22	0.0863598306747482	"Shallow_deletion"
"TCGA-AA-3679"	55	1.1	0.0413926851582251	"Normal_deletion"
"TCGA-AA-3680"	92	1.84	0.264817823009536	"Normal_deletion"
"TCGA-AA-3681"	97	1.94	0.287801729930226	"Normal_deletion"
"TCGA-AA-3685"	65	1.3	0.113943352306837	"Shallow_deletion"
"TCGA-AA-3688"	53	1.06	0.0253058652647703	"Shallow_deletion"
"TCGA-AA-3692"	56	1.12	0.0492180226701817	"Shallow_deletion"
"TCGA-AA-3693"	110	2.2	0.342422680822206	"Shallow_deletion"
"TCGA-AA-3695"	136	2.72	0.434568904034199	"Shallow_deletion"
"TCGA-AA-3696"	77	1.54	0.187520720836463	"Normal_deletion"
